Modulo,Tabela,Descricao_Tabela,Coluna,Tipo,Eh_Chave_Primaria,Tabela_Relacionada (Chave Estrangeira),Observacoes
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_ID","int(4)","SIM","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","S1_ID","int(4)","NAO","S1",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_DESCRICAO","varchar(50)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_TIPO","varchar(50)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_SELECIONE","bit(1)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_DATA_INCLUSAO","datetime(8)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_DATA_ALTERACAO","datetime(8)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_USUARIO_INCLUSAO","varchar(50)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_USUARIO_ALTERACAO","varchar(50)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_ENDERECO","varchar(50)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_ALTURA","numeric(9)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_LARGURA","numeric(9)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_COMPRIMENTO","numeric(9)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_CUBAGEM","numeric(9)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_STATUS","varchar(20)","NAO","","Máquina de estados (Aberto, Fechado, etc)"
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_DATA_BLOQUEIO","datetime(8)","NAO","",""
"Estoque / Produtos","A3","Tabela do Sistema Petrus","A3_DATA_REATIVACAO","datetime(8)","NAO","",""
"Geral / Outros","A5","Tabela do Sistema Petrus","A5_ID","int(4)","SIM","",""
"Geral / Outros","A5","Tabela do Sistema Petrus","S1_ID","int(4)","NAO","S1",""
"Geral / Outros","A5","Tabela do Sistema Petrus","A5_DESCRICAO","varchar(300)","NAO","",""
"Geral / Outros","A5","Tabela do Sistema Petrus","A5_SELECIONE","bit(1)","NAO","",""
"Geral / Outros","A5","Tabela do Sistema Petrus","A5_DATA_INCLUSAO","datetime(8)","NAO","",""
"Geral / Outros","A5","Tabela do Sistema Petrus","A5_DATA_ALTERACAO","datetime(8)","NAO","",""
"Geral / Outros","A5","Tabela do Sistema Petrus","A5_USUARIO_INCLUSAO","varchar(50)","NAO","",""
"Geral / Outros","A5","Tabela do Sistema Petrus","A5_USUARIO_ALTERACAO","varchar(50)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_ID","int(4)","SIM","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","S1_ID","int(4)","NAO","S1",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_CNH","varchar(20)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_DATA_NASCIMENTO","datetime(8)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_NOME","varchar(50)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_IE_RG","varchar(20)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_CNPJ_CPF","varchar(20)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_SELECIONE","bit(1)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_DATA_INCLUSAO","datetime(8)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_DATA_ALTERACAO","datetime(8)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_USUARIO_INCLUSAO","varchar(50)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_USUARIO_ALTERACAO","varchar(50)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_EMAIL","varchar(500)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_CONTATO","varchar(50)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_LOGRADOURO","varchar(200)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_NUMERO","varchar(50)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_BAIRRO","varchar(100)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_COMPLEMENTO","varchar(100)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_CEP","varchar(20)","NAO","",""
"Geral / Outros","B1","Tabela do Sistema Petrus","B1_CODIGO","int(4)","NAO","",""
